maker,certifier,city,state,categories,url
Boxed Halal,HFSAA,Chicago,Illinois,Halal Jerky & Snacks Worth the Hunt; Halal Broth & Prepared Worth the Hunt,https://boxedhalal.com/
Cabot Creamery,IFANCA,,,Halal Cheese & Dairy Worth the Hunt,https://cabotcreamery.com/
Crain of California,Islamic Services of America (ISA),Los Molinos,California,Halal Walnuts & Nuts Worth the Hunt,https://crainofcalifornia.com/
Crescent Foods,IFANCA,Chicago,Illinois,Halal Chicken & Poultry Worth the Hunt; Halal Broth & Prepared Worth the Hunt,https://shopcrescentfoods.com/
Halal Pastures,Halal Advocates of America,Rock Tavern,New York,Halal Beef & Lamb Worth the Hunt; Halal Chicken & Poultry Worth the Hunt; Halal Broth & Prepared Worth the Hunt,https://www.halalpastures.com/
J&M Halal Meals,IFANCA,,,Halal Frozen & Prepared Meals Worth the Hunt,https://www.halalcertified.com/
Karoun Dairies,Islamic Services of America (ISA),Turlock,California,Halal Cheese & Dairy Worth the Hunt,https://www.karouncheese.com/
Midamar,Islamic Services of America (ISA),Cedar Rapids,Iowa,Halal Jerky & Snacks Worth the Hunt; Halal Beef & Lamb Worth the Hunt; Halal Chicken & Poultry Worth the Hunt; Halal Broth & Prepared Worth the Hunt,https://www.midamarhalal.com/
Noor Vitamins,IFANCA,,,Halal Vitamins & Supplements Worth the Hunt,https://www.noorvitamins.com/
One Stop Halal,IFANCA,Los Angeles,California,Halal Seafood Worth the Hunt,https://onestophalal.com/
PF Bakeries,HFSAA,San Diego,California,Halal Bread & Flatbread Worth the Hunt,https://www.pfbakeries.com/
Primavera Walnuts,HFSAA,Linden,California,Halal Walnuts & Nuts Worth the Hunt,https://primaverawalnuts.com/
Samson's Kitchen,Islamic Services of America (ISA),,,Halal Pantry & Spices Worth the Hunt,https://samsonskitchen.com/
Sharifa Halal Snacks,Halal Transactions of Omaha,Detroit,Michigan,Halal Jerky & Snacks Worth the Hunt,https://sharifahalalsnacks.com/
Shifaa Nutrition,Islamic Services of America (ISA),,,Halal Vitamins & Supplements Worth the Hunt,https://shifaanutrition.com/
Simply Halal,Islamic Services of America (ISA),Dearborn Heights,Michigan,Halal Pantry & Spices Worth the Hunt,https://simplyhalal.co/
Skinny Crust,HFSAA,East Dundee,Illinois,Halal Bread & Flatbread Worth the Hunt,https://www.skinnycrust.us/
Supreme Beef Jerky,Halal Transactions of Omaha,Placentia,California,Halal Jerky & Snacks Worth the Hunt,https://supremebeefjerky.com/
TruBeef Organic,Halal Advocates of America,San Diego,California,Halal Beef & Lamb Worth the Hunt,https://truorganicbeef.com/
Zaytun Vitamins,Islamic Services of America (ISA),,,Halal Vitamins & Supplements Worth the Hunt,https://www.zaytunvitamins.com/
Ziyad,IFANCA,Cicero,Illinois,Halal Pantry & Spices Worth the Hunt; Halal Sweets & Candy Worth the Hunt,https://www.ziyadbrothers.com/
